Date,ABBV,ACN,AEP,AIZ,ALLE,AMZN,AMP,AMAT,AVB,AVY,AXP,BDX,BF-B,BMY,BR,CDW,CE,CHTR,CNC,CNP,COP,CTAS,DPZ,DG,DRE,FB,DXC,GPC,HIG,HST,JPM,KR,PG,PRU,PPL,ROL,RE,ROST,URI,UNH,V,VRSK,XOM,IVV,IWM,EWG,EWU,EWQ,EWL,EWT,IEUS,EWJ,MCHI,EWY,INDA,EWA,EWH,EWZ,EWC,IEMG,LQD,SHY,HYG,IEF,SEGA.L,TLT,IAU,SLV,GSG,ICLN,IXN,IGF,SPMV.L,MVEU.L,XLF,XLK,XLE,XLY,XLV,XLI,XLU,XLP,XLB
2022-04-01,139.69151155130703,332.4784109485945,86.38481018071491,160.45396980780197,115.9479012560439,153.86321575462577,303.5504428179902,134.58767546411278,236.4525805070933,182.33213095967767,184.5060344054973,261.54010016267875,66.27081944821839,65.39325867755207,149.049065794542,181.07127887030558,149.5380766625468,599.1308268875146,81.87663091922968,27.06908518421011,88.51216604912453,385.7682597566209,429.0299070761521,207.90525200228876,54.36638870360565,227.03922958598537,36.11703960217653,125.43599523740022,69.92962301069127,18.449301004162017,150.42824128236452,47.37894938582513,156.40981767291623,113.64449938152664,27.296082919199307,31.657788478410655,289.87849135025954,94.18320111389494,327.89113627198094,472.8835278956992,222.5303099629964,192.03068159353597,78.18352501004688,439.62910677287323,208.11852507663386,30.629428310283572,33.12423856184615,36.38231423887919,47.51793425962358,64.56477589013946,62.042869193696845,63.46309080170614,61.90442468254264,72.7440204195633,44.57712601745584,23.134493141895234,23.342042466669113,30.92726602294398,37.96387667185422,59.021643742147035,122.60947676161199,84.17986494932,81.44658714409184,110.58697639318142,105.4683832899056,136.3399930730318,35.27077095671257,21.647300219449903,19.60223379826661,19.44151855364862,57.084301577250756,46.796540094926314,78.5074136988419,52.40306245986468,39.220325830273964,155.17498977802768,66.21897580367643,180.68705038235612,129.56358846191233,98.84644994429142,66.43787543678252,74.64997259171412,83.0382699651741
2022-04-04,147.08693904269694,340.4398850381408,89.08967641927593,159.51913449145013,118.69025119803132,159.97062960612246,305.3371094266313,139.1713619427142,239.79029318078503,186.94157709742012,184.38623726185233,261.2503772502596,67.28747841781114,68.06959304762705,151.7068674126931,183.67840595558178,151.70648176766153,626.314568678421,81.78656546403727,27.85040185482893,92.30479434042492,386.02991562454196,447.32520070034843,207.81771452593966,55.665586358182395,239.01336821499623,35.85963018429743,126.91088916381113,70.62505975915883,18.951237320279173,151.34190473410035,48.41225875516775,156.27376717321386,113.52226346368046,27.44425450585038,31.13648304959526,289.23954558187233,96.72029324767027,328.72424688409046,486.3376215960766,222.27518058461283,195.85005370057115,78.72476762611313,444.2507007220613,205.23648320637218,30.603901122621437,33.12649358933778,36.3051366435235,48.11638465658664,64.53675899763925,62.93822501514546,64.05299435381312,63.203499851004324,73.96054239380584,45.06196593497475,23.140474910834826,23.321311836994937,32.38114728547276,38.34296847243755,58.963004470627766,124.57965040509681,84.50154001718238,82.13770860337263,111.25294255480627,106.82965408159262,139.36671634647973,35.42470483907806,21.716043180829956,20.96092567455605,18.59956310771122,58.162317171215534,47.490025431345884,79.21736088499188,52.94750000099207,39.185704224575375,157.8411829412412,69.45214356238313,184.4120614556914,130.98716397951375,99.80644038653385,67.51196395077466,75.37518501295472,83.89444987307127
2022-04-05,149.05625682341451,334.26056609161196,87.65608577906778,160.53921516383866,116.71772074052217,157.96004292962334,305.38179528672026,138.2354795903554,237.7034758550944,183.02902406403132,184.56722045203787,262.4031805865243,66.53979686419007,68.91204517427332,146.47398407299352,180.4014510542565,148.08067233528573,625.7710310616094,82.01433732144358,27.41353613303795,92.93895430307022,380.4325840678767,440.50748186143755,200.90640108571824,54.62739720629281,229.39876670137912,36.10051255437941,125.10062839286911,70.13251969921242,19.006395670523826,151.61237041529853,46.60012262850449,156.43726820017082,113.84686981527896,26.893775195549097,31.462815534581015,289.9183345710835,95.08225882599436,324.66389042230367,483.1490755914501,222.91336895234417,192.3845299081545,79.62985730511582,440.367622307974,202.4328712807255,30.526478946693146,33.13643351468273,36.33001145611257,47.908073971632014,64.56806665186548,62.33902973831198,64.02643661687762,63.08006402305256,73.71218043313058,44.706044493600245,23.401251618738343,23.34589084190509,32.325588220628724,38.08081738613851,58.97991486184833,124.17614382684339,84.43574832570084,82.12401224007431,111.70298662830463,106.51908604226179,139.46214666743663,35.96850132212052,21.943400512641915,20.62493051635115,18.774783401399418,57.57695539965454,47.143263852348156,78.56396338070454,52.71357438476486,39.247363087896815,156.1405493270977,69.34999992807678,181.35803678746493,130.01928257142208,99.14543348957888,66.88584310516967,75.3864998281432,83.29092453611361
2022-04-06,146.22696679753517,331.6460011035497,87.73063609700716,163.37641937328692,116.26922935696075,155.33814434112318,299.1735573766109,134.98302094608582,237.30588230678003,180.9690031140094,184.3959026935545,261.7381208148945,66.55215927424251,67.87034294307767,148.14224910502708,179.81385171533745,147.63334268706467,606.0548532327621,81.91585021373635,27.328047942608805,91.65901646184331,382.3919983302731,432.6747919055397,203.710630317677,54.428529610302434,224.1295919851991,34.983805226859204,124.59766043976651,69.63787643024384,18.59140933511445,147.5536070310543,47.18418736098587,156.3978461617039,112.20736661037311,26.90646339257637,31.59842654324169,289.82770077389114,94.81173373678575,319.1172925327555,479.97237042766756,219.70783830736036,191.79593982654706,78.36136053406472,438.4872675349329,202.2752938655503,29.494123847784493,33.10752003761082,35.543920759252956,47.36968583520244,64.5551007848045,61.079461404830994,63.240327939693096,61.22856895540764,72.8780143862596,44.19035882664245,23.409719026762062,23.294889143982573,31.961415030822334,37.991850120029255,58.20106383233349,123.18103331406282,84.30925411505291,81.64295402333278,111.12797445066893,106.02161955126931,138.18728705633066,36.36451097919226,22.189508040033928,20.67637989147254,18.89889864230281,56.927341581974815,47.05942236916684,78.46934634612012,52.30250547677621,38.859493733662646,154.72582431230035,68.75615261080014,180.2531049315162,129.69331644824433,98.7749296179011,66.76409281518681,75.06945916306631,82.99957287623374
2022-04-07,151.84799067335007,332.51287173976516,88.90040585966933,164.2876093465893,117.25801970508167,157.59729021102748,299.7024769973441,137.57066896468623,238.26013918577857,182.69046821171924,184.3799008101323,262.15668887895026,66.98064639395852,69.8805680058058,150.53414943501866,180.583493194312,148.4060699033232,622.8325650184197,81.89975799199931,27.77385902799375,94.21959008734167,387.3568632560869,442.3653719532399,205.88754501694712,54.966396753888546,223.8967715930189,35.049674400467154,124.97344599394319,70.09719768801875,19.095200379547688,147.8523545171588,47.92923057192197,155.9325943816525,112.4311127285964,26.956917109254846,31.917594345395802,289.66730251358877,93.92281359048229,318.86764189667156,488.51811207801165,219.95584263854107,192.00177278869614,79.64226687674864,440.5180644126742,202.51202378067316,29.442701574999603,33.08833488406891,35.42505075127741,47.60672835901989,64.28906640514697,61.43435064260052,63.290712945185085,61.58707391853835,73.47321350436346,44.41608145911579,23.77788970495247,23.24570101455879,33.127652472062316,38.26481156391219,58.027446319188584,124.20754515318255,84.45334018625408,82.03396709711228,111.82184046902942,106.88425544401667,140.55704529789,36.932281882427844,22.307927015814855,21.383779183472356,19.05768106398409,57.412165614193356,47.45963159272323,78.74046778962224,52.54558277606542,38.78475016442752,156.08725759875836,70.68521062533813,181.75529528561196,130.0263305656399,99.10932112139956,67.00889134530053,75.51616007973564,83.38806926577365
2022-04-08,143.40185527785707,322.6311297905886,86.56062387662519,174.12339969546906,114.02798249014734,150.43991869373974,294.10153279424344,131.26507918901177,234.6743789582176,175.9787962014725,183.88879480439937,261.2254681071263,65.65356846458599,66.81190559545692,146.46834223699443,175.6480835503639,144.06803297074066,580.3206388577656,81.47835185992108,26.85963652823682,90.11695991787475,378.2910946274579,418.0318540391345,200.36144532996695,53.123252038459555,212.59987697473525,34.20225408118239,122.82661353349704,68.876101472644,18.1995081383644,143.06825815151922,46.02456894975182,155.91759380792428,111.26352866058856,26.437560705713622,31.42346989727358,289.1103463142049,92.54413957142606,323.29301046578803,468.6548990626825,215.95055602319553,187.28036179367064,77.8073902203862,433.0825808682057,199.70852082508824,28.6879498664904,32.96107119051886,34.693489428104584,46.734614836659524,64.27810963083186,59.60086876973355,61.864865689070946,59.01432117584787,71.69353368093374,43.563229551196855,24.55691829107792,23.007851652214242,31.30176453580938,37.73122619895949,57.1489140791316,121.62682040252822,84.10450278520875,81.13387054732567,110.56018315885079,105.27059573258981,135.77102557431567,37.31226874427483,23.337421495429453,20.280825722725282,18.61503727897525,55.799979289732846,46.63596818517294,77.57918241537027,51.68156180370823,38.46190162570315,151.91095571513256,67.33722455222056,176.28960516574625,128.40057788711601,97.9889760956478,65.95878759249354,74.16942920069522,82.21185962520667
2022-04-11,145.51124420387623,331.66730742568143,89.1179000074708,172.5489168245864,116.27156929642854,151.7393784271872,293.9010859264979,133.5969595392483,236.15322153664212,180.04960291636235,183.45827652268963,261.08086996698876,66.60248362130005,67.61963041822241,145.09216804256994,177.87928147275395,146.09669060495798,589.4783809232144,81.62314151810585,27.582469109128184,92.30625099269947,374.9363702284182,430.21034381457685,197.2132679364222,54.36060654377536,221.9179371523171,34.108321001423036,124.15420481349793,69.02260277434402,18.240846227723033,143.21210317497167,48.76903044785464,155.0480068098118,110.46102969669481,26.67210446331228,31.23777819051782,288.6901641124573,95.3758422454739,319.88801613312535,474.4115475471947,215.74972471958608,191.73921293901776,78.70651481573805,436.74365315130103,204.40006757083208,28.723976130502706,32.90899401465686,34.742825432419224,46.93113771156107,63.978459595807124,59.84021945090538,62.171833315263946,59.30473690148426,72.1230520662312,43.676952891828364,23.701518945068976,22.913369218867615,31.87181005357021,37.900931497808315,57.091708737478314,122.4042452134707,84.23930052330638,81.51314645523291,111.03016319962181,105.95674492005145,137.22643790405687,37.05198988602615,23.029297187098564,21.339678187189946,18.56756241257426,56.45761868479582,47.01502098518367,78.29179155507063,52.0104068221685,38.29583439133796,153.74249913572555,69.09432656713318,179.16644462788304,129.92605471237493,98.87143704074812,67.4559703979454,74.49549167399232,82.87880013996664
2022-04-12,143.98988405203454,319.42698106490116,86.59895428817651,165.2320505943967,113.25957771739706,148.2662359650409,289.1137088234884,129.692325653019,234.35514002575107,173.94565794667596,183.77303597731134,261.96116485319544,65.38339061233273,67.14903273759478,145.99951506209436,173.9576330147547,142.67179755389498,577.2328811285406,81.87368951247913,26.783895333175934,91.18069167119894,378.96917373430375,410.3436293005652,201.59391654437786,52.75029958186428,204.4853308845859,33.423599195223005,122.26906006783247,68.38614743823143,18.107755481817005,140.77856691446118,46.62248200242481,155.54608134081536,109.6668131139089,26.2598492061843,32.000847234567715,289.3616236856478,91.13612351071242,312.56798568416707,468.1759644898566,212.3299114049969,186.34570160005478,79.25644120766947,430.7899950281062,198.36104733506542,28.20069836693608,32.68523418396763,34.19692233238995,46.29513142762023,64.21391356037884,58.68697009809955,61.463556480561245,58.09951894175424,71.18599649003795,43.17784178228226,23.231511725036,22.67763115405188,31.63334921847615,37.70663319158078,56.5695078467204,121.3072868635003,84.08172195985037,81.01553399233921,110.96442543819693,105.08502795138838,135.69762822349662,36.54415404927539,22.544190900396302,20.511584067441003,18.609838121830762,55.12089706168126,46.50404281727049,77.3078504971636,51.29238081235109,37.98021630045599,150.42935663570734,68.06984431778491,174.70027920431994,127.9693958041862,97.76010679971002,65.6124757853072,73.87906435415022,81.89004516957698
2022-04-13,146.79186617459436,330.7339512199096,89.22816248814503,168.1897844724656,116.26874793400805,152.96963362556846,291.69742943275276,134.8859850973339,237.56127903632702,180.90088809958797,180.39824034948924,261.0832161271228,66.62215036507405,67.96479804337531,145.0318301319021,178.59370424544338,146.625866443625,596.6563528314277,81.71506330268198,27.56592052528221,92.37826007993273,375.07909362964625,434.22475328391374,197.4492261973428,54.44578732912004,221.50374072890145,33.59152570893326,124.41795937615916,69.12880975877994,18.374093385676318,142.23744865714946,48.98541673699723,153.5943486921933,109.83669815802533,26.698032472130762,31.87844840005278,285.8058968380278,94.81607103148963,317.2192483826475,481.5594481001622,212.54086710363663,191.37399528523702,78.97761043276978,437.6596942138856,204.13889399439083,28.485750318968414,32.448463317726244,34.259877019164534,47.170019180028966,63.29257338872026,60.199804800716294,62.022232741061096,58.580781507415935,72.21631268122528,43.91687497975735,23.7056895053546,22.52950752166808,32.430039207015305,37.9751273705626,56.432511322441115,122.68295446963113,84.34229049751457,81.49418966093606,110.98000556406076,106.38598872937948,138.34594216806613,36.95710434140142,22.94899648298599,21.63443252168591,18.570010494426697,56.678052834900825,47.1539626920259,78.37082473003534,52.178804645589814,37.93175612533085,154.21892150663575,69.79723535401234,179.68877474298552,129.84986048214705,98.96743257063692,66.65749555512855,74.43012886689456,83.08180892755195
2022-04-14,153.30556689028526,330.50476845832145,90.28514136138274,172.2008607054728,116.41747672575718,156.43718016736233,295.229582914666,136.27309493510595,241.1195897647644,180.79893960455547,184.308141035056,262.1047835690015,66.76038083677668,70.347093197969,145.66485365634435,178.8854831438043,146.67084986852387,628.2836186007708,81.94461565506867,27.769515635789347,95.28664025311811,376.1516842221536,438.9223361666154,198.30491661328415,54.74626134517396,224.6816832678203,33.73674332819475,124.50199202030399,69.49400015247865,18.877563411855405,145.89335295711635,50.4495383633112,156.2614265779307,111.4838175764638,26.73127203909644,31.934859799919398,289.8384222288214,93.1118726167715,313.4727191789789,497.31559081948853,215.19338366828015,188.81668984303633,79.64528242746746,438.108372535527,203.7767831261908,28.92328035604126,32.82063359443601,34.906100339874754,47.25882083241732,64.52782460909316,60.53197055824617,63.07945925304376,60.36335928326045,72.69464722938187,44.11636900768394,23.938804960256576,22.76461551254843,33.552489716633765,38.39399798958212,57.2633027006101,124.58243729219295,84.6304545306848,82.20220501714107,111.9161741915991,107.4429071163101,141.49187245492158,37.34061366482774,23.274796411427815,22.526392334339107,18.758269064171145,56.84327609048012,47.452240107957685,78.49025281077729,52.263067017997365,38.58694984246381,154.5793141744026,72.21086577800213,179.70989334753267,129.20214074236537,99.04437388802695,66.29438530959499,75.62013416246737,83.18745681408768
