Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,4112.5,4178.25,4105.25,4169.0,4169.0,1513171
2021-05-17,4169.0,4178.75,4136.5,4157.75,4157.75,1480730
2021-05-18,4159.0,4179.5,4111.5,4123.0,4123.0,1285520
2021-05-19,4114.0,4123.0,4055.5,4111.5,4111.5,2313119
2021-05-20,4107.75,4169.25,4084.5,4154.25,4154.25,1486599
2021-05-21,4152.5,4185.0,4147.0,4151.75,4151.75,1466725
2021-05-24,4151.5,4206.25,4142.5,4193.75,4193.75,1046500
2021-05-25,4199.25,4212.75,4179.25,4185.5,4185.5,1221701
2021-05-26,4188.0,4204.25,4180.5,4193.0,4193.0,1051147
2021-05-27,4193.0,4211.5,4177.75,4199.0,4199.0,1179928
2021-05-28,4211.25,4217.5,4201.0,4202.5,4202.5,1110833
2021-06-01,4206.5,4230.0,4190.0,4198.5,4198.5,1366344
2021-06-02,4198.5,4215.0,4190.75,4206.25,4206.25,1059938
2021-06-03,4208.0,4213.25,4165.25,4191.25,4191.25,1384271
2021-06-04,4190.75,4232.0,4177.0,4228.25,4228.25,1051573
2021-06-07,4232.25,4232.5,4214.0,4225.5,4225.5,934681
2021-06-08,4227.5,4236.75,4205.75,4225.75,4225.75,1305814
2021-06-09,4225.5,4235.0,4217.0,4218.5,4218.5,1057216
2021-06-10,4222.25,4249.0,4207.0,4238.0,4238.0,1563728
2021-06-11,4239.5,4247.75,4230.75,4245.75,4245.75,1084830
2021-06-14,4248.0,4257.5,4233.5,4254.75,4254.75,1116773
2021-06-15,4255.25,4267.5,4238.0,4246.5,4246.5,981189
2021-06-16,4248.0,4251.25,4200.75,4223.0,4223.0,511740
2021-06-17,4214.25,4232.5,4193.0,4222.25,4222.25,326193
2021-06-18,4225.75,4231.0,4183.75,4187.25,4187.25,1951342
2021-06-21,4142.5,4219.75,4126.75,4213.75,4213.75,1425623
2021-06-22,4219.25,4245.5,4205.75,4236.25,4236.25,1063749
2021-06-23,4237.5,4248.25,4230.5,4231.5,4231.5,938299
2021-06-24,4233.75,4263.75,4231.75,4256.0,4256.0,878788
2021-06-25,4262.0,4276.75,4253.5,4271.25,4271.25,906160
2021-06-28,4275.0,4282.0,4264.25,4280.5,4280.5,823723
2021-06-29,4280.5,4291.0,4271.75,4282.0,4282.0,741471
2021-06-30,4284.75,4294.25,4269.25,4288.5,4288.5,1100062
2021-07-01,4294.25,4312.0,4286.0,4310.75,4310.75,985190
2021-07-02,4309.75,4347.0,4308.0,4342.75,4342.75,999780
2021-07-06,4341.0,4348.0,4305.25,4334.0,4334.0,1368133
2021-07-07,4328.0,4353.25,4320.25,4349.75,4349.75,1221078
2021-07-08,4352.25,4352.25,4279.25,4313.0,4313.0,1991636
2021-07-09,4310.25,4364.0,4293.25,4360.0,4360.0,1311506
2021-07-12,4362.0,4379.25,4341.75,4376.5,4376.5,1055739
2021-07-13,4377.0,4383.75,4356.5,4361.25,4361.25,1249893
2021-07-14,4359.5,4384.5,4350.0,4367.75,4367.75,1308582
2021-07-15,4366.5,4370.25,4332.5,4352.0,4352.0,1611726
2021-07-16,4347.75,4368.0,4314.25,4318.5,4318.5,1636065
2021-07-19,4320.0,4320.75,4224.0,4251.25,4251.25,2599774
2021-07-20,4262.75,4329.0,4252.75,4315.5,4315.5,1844380
2021-07-21,4318.75,4355.25,4310.0,4350.5,4350.5,1191429
2021-07-22,4355.0,4371.5,4341.5,4359.5,4359.5,981969
2021-07-23,4371.5,4408.25,4367.25,4403.0,4403.0,1173337
2021-07-26,4400.5,4416.75,4375.5,4414.25,4414.25,938628
2021-07-27,4415.75,4416.0,4364.75,4394.5,4394.5,1575473
2021-07-28,4380.0,4407.75,4377.5,4393.75,4393.75,1221313
2021-07-29,4393.75,4422.5,4380.5,4411.75,4411.75,1009496
2021-07-30,4394.25,4405.0,4370.75,4389.5,4389.5,1376982
2021-08-02,4396.5,4419.75,4377.25,4379.75,4379.75,1193301
2021-08-03,4383.75,4417.0,4365.25,4415.0,4415.0,1296856
2021-08-04,4409.75,4415.0,4391.25,4394.75,4394.75,1047251
2021-08-05,4396.25,4422.75,4393.75,4421.5,4421.5,763343
2021-08-06,4420.25,4433.25,4416.0,4429.5,4429.5,951045
2021-08-09,4428.0,4432.0,4412.25,4425.75,4425.75,789726
2021-08-10,4427.25,4438.25,4416.5,4430.0,4430.0,950320
2021-08-11,4429.25,4443.25,4420.75,4440.5,4440.5,1001054
2021-08-12,4440.0,4456.25,4430.25,4454.5,4454.5,850527
2021-08-13,4455.75,4463.25,4451.0,4462.5,4462.5,789104
2021-08-16,4456.25,4476.5,4432.5,4474.0,4474.0,1239520
2021-08-17,4472.0,4472.25,4411.75,4443.5,4443.5,1789568
2021-08-18,4436.75,4449.75,4381.5,4394.5,4394.5,1546011
2021-08-19,4389.75,4414.75,4347.75,4401.5,4401.5,1924058
2021-08-20,4403.75,4440.5,4371.75,4437.0,4437.0,1328852
2021-08-23,4435.0,4485.75,4433.5,4475.5,4475.5,997026
2021-08-24,4481.0,4492.0,4476.75,4482.5,4482.5,787503
2021-08-25,4483.5,4498.0,4476.25,4493.0,4493.0,801106
2021-08-26,4493.75,4494.25,4465.0,4466.5,4466.5,1306718
2021-08-27,4470.0,4510.0,4462.25,4505.5,4505.5,1216414
2021-08-30,4508.75,4534.5,4500.75,4525.25,4525.25,975807
2021-08-31,4529.5,4542.25,4512.5,4520.5,4520.5,1378199
2021-09-01,4527.75,4540.0,4519.25,4521.25,4521.25,1061414
2021-09-02,4522.5,4544.0,4516.0,4535.25,4535.25,1016806
2021-09-03,4536.75,4549.5,4519.25,4534.5,4534.5,1156146
2021-09-07,4533.0,4548.0,4510.75,4519.25,4519.25,1277938
2021-09-08,4517.5,4524.75,4492.0,4512.5,4512.5,1606757
2021-09-09,4511.0,4529.5,4485.5,4492.25,4492.25,1696301
2021-09-10,4491.25,4518.25,4456.5,4458.25,4458.25,1721413
2021-09-13,4461.0,4492.75,4444.75,4469.0,4469.0,1534719
2021-09-14,4475.5,4489.5,4435.0,4444.5,4444.5,893788
2021-09-15,4446.75,4487.5,4437.5,4481.75,4481.75,518985
2021-09-16,4486.0,4487.5,4443.0,4474.25,4474.25,268026
2021-09-17,4471.0,4482.5,4459.0,4464.330078125,4464.330078125,1968041
2021-09-20,4411.75,4418.0,4293.75,4348.25,4348.25,2711340
2021-09-21,4342.5,4395.75,4329.25,4343.25,4343.25,1941006
2021-09-22,4336.5,4406.5,4321.25,4384.0,4384.0,1767853
2021-09-23,4386.0,4455.0,4385.75,4438.0,4438.0,1447395
2021-09-24,4439.0,4453.0,4410.75,4445.75,4445.75,1182037
2021-09-27,4446.0,4472.0,4425.0,4433.0,4433.0,1306188
2021-09-28,4429.75,4442.0,4334.75,4343.5,4343.5,2307037
2021-09-29,4347.5,4378.75,4344.25,4349.75,4349.75,1815726
2021-09-30,4360.0,4389.0,4294.25,4297.75,4297.75,2373423
2021-10-01,4301.0,4365.75,4260.0,4343.75,4343.75,2269695
2021-10-04,4349.0,4362.0,4267.5,4291.25,4291.25,2135338
2021-10-05,4295.75,4359.75,4269.0,4334.0,4334.0,1650217
2021-10-06,4334.0,4357.5,4273.75,4354.0,4354.0,2202805
2021-10-07,4355.25,4421.5,4355.0,4390.0,4390.0,1406808
2021-10-08,4390.5,4407.75,4376.25,4382.25,4382.25,1428160
2021-10-11,4381.0,4407.5,4344.0,4351.0,4351.0,1245705
2021-10-12,4347.75,4365.0,4317.25,4340.75,4340.75,1295686
2021-10-13,4327.5,4364.75,4318.75,4355.0,4355.0,1372482
2021-10-14,4354.75,4437.25,4354.0,4429.0,4429.0,1264458
2021-10-15,4433.0,4467.5,4426.25,4462.5,4462.5,1185108
2021-10-18,4465.5,4479.75,4436.25,4477.5,4477.5,1095216
2021-10-19,4475.75,4517.5,4471.75,4511.25,4511.25,1018177
2021-10-20,4516.0,4532.25,4504.0,4528.0,4528.0,1006857
