Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,59.93000030517578,60.880001068115234,59.93000030517578,60.77000045776367,57.273536682128906,20735400
2021-05-17,60.540000915527344,62.25,60.43000030517578,62.189998626708984,58.611839294433594,25282500
2021-05-18,62.0,62.29999923706055,60.400001525878906,60.43000030517578,56.95309829711914,25170800
2021-05-19,59.099998474121094,59.86000061035156,58.41999816894531,58.97999954223633,55.58652877807617,28889800
2021-05-20,58.95000076293945,59.150001525878906,58.2400016784668,58.84000015258789,55.454586029052734,20692500
2021-05-21,59.41999816894531,59.83000183105469,58.849998474121094,58.91999816894531,55.52997970581055,20792700
2021-05-24,59.08000183105469,59.79999923706055,58.689998626708984,59.61000061035156,56.18028259277344,18400300
2021-05-25,59.5,59.540000915527344,58.119998931884766,58.2599983215332,54.907958984375,25616100
2021-05-26,58.25,59.119998931884766,57.900001525878906,58.939998626708984,55.548831939697266,21698700
2021-05-27,59.22999954223633,59.70000076293945,58.02000045776367,58.560001373291016,55.19069290161133,33556000
2021-05-28,58.72999954223633,58.79999923706055,58.11000061035156,58.369998931884766,55.011627197265625,19246800
2021-06-01,59.45000076293945,60.70000076293945,59.45000076293945,60.459999084472656,56.98137664794922,28474200
2021-06-02,60.75,61.310001373291016,60.16999816894531,60.939998626708984,57.43375778198242,22978300
2021-06-03,60.54999923706055,61.40999984741211,60.349998474121094,61.18000030517578,57.65994644165039,20272800
2021-06-04,61.459999084472656,61.70000076293945,60.779998779296875,61.45000076293945,57.91442108154297,20427800
2021-06-07,61.33000183105469,61.72999954223633,61.02000045776367,61.04999923706055,57.53742980957031,15477900
2021-06-08,61.5,62.47999954223633,60.66999816894531,62.130001068115234,58.5552978515625,28953400
2021-06-09,62.66999816894531,63.41999816894531,62.189998626708984,62.650001525878906,59.04537582397461,29133000
2021-06-10,63.61000061035156,63.97999954223633,62.25,62.75,59.13962173461914,27488700
2021-06-11,63.0099983215332,63.189998626708984,62.13999938964844,62.16999816894531,58.59299087524414,17631700
2021-06-14,62.29999923706055,62.779998779296875,61.56999969482422,62.06999969482422,58.49874496459961,16997200
2021-06-15,62.47999954223633,64.4000015258789,62.349998474121094,64.33000183105469,60.62871170043945,30717100
2021-06-16,64.31999969482422,64.80000305175781,63.560001373291016,64.0999984741211,60.41194152832031,24803200
2021-06-17,63.86000061035156,64.45999908447266,61.27000045776367,61.9900016784668,58.42334747314453,28491800
2021-06-18,61.0,61.54999923706055,60.2400016784668,60.400001525878906,56.92483139038086,39590700
2021-06-21,60.93000030517578,62.70000076293945,60.900001525878906,62.59000015258789,58.988826751708984,33145400
2021-06-22,62.849998474121094,64.01000213623047,62.22999954223633,63.790000915527344,60.11978530883789,25140400
2021-06-23,64.05000305175781,64.69999694824219,63.58000183105469,64.26000213623047,60.562740325927734,20701600
2021-06-24,64.1500015258789,64.55999755859375,63.810001373291016,64.5199966430664,60.807777404785156,19568400
2021-06-25,64.61000061035156,64.93000030517578,64.36000061035156,64.66000366210938,60.93973159790039,18438300
2021-06-28,64.55999755859375,64.55999755859375,62.75,63.0099983215332,59.38466262817383,20570000
2021-06-29,63.209999084472656,63.77000045776367,62.59000015258789,62.619998931884766,59.01709747314453,19579300
2021-06-30,62.70000076293945,63.22999954223633,62.45000076293945,63.08000183105469,59.45063781738281,17875500
2021-07-01,64.33000183105469,64.41999816894531,62.77000045776367,63.2599983215332,59.620269775390625,22530300
2021-07-02,63.0099983215332,63.31999969482422,62.41999816894531,63.16999816894531,59.53545379638672,14555300
2021-07-06,62.75,62.7599983215332,60.900001525878906,61.369998931884766,57.839019775390625,22110800
2021-07-07,61.18000030517578,61.810001373291016,59.619998931884766,60.40999984741211,56.93425750732422,21671400
2021-07-08,59.45000076293945,60.709999084472656,59.310001373291016,60.13999938964844,56.67979049682617,18935900
