,mean_,scale_
SP500,2499.6528944022702,856.9797888373903
Dow,21609.198970739977,6518.182894122179
Nasdaq,6500.952459831958,3676.7570875339616
CrudeOil,66.07247172553585,22.340329013359607
Gold,1430.4433580391362,242.86561612582403
Silver,20.182467186046097,5.364570445586853
EURUSD,1.1907444336152626,0.09165333441272408
gsci,477.7508827238263,119.4445739873292
vix,17.17855471485066,6.805296105113487
