scale_,min_
0.01457293364315864,-1.5281931847642065
0.005766539193500184,-1.3822476541867967
0.03030676664486818,-2.1419664911516145
0.01418335304791489,-1.7287443739047927
0.019082030332278416,-1.8013216000606795
0.013058233257563294,-1.1714903825019156
0.007679764057248788,-1.5028716207605575
0.0005806425559074453,-1.1666153885055632
0.013590258255033112,-2.488211768805727
0.010517108977756538,-1.374531187582699
0.013217335096861486,-1.6146331576149715
0.011312005145084372,-2.115552608953738
0.040027947674800564,-2.182438666340257
0.04984399508716909,-2.898797356563087
0.013377876242243852,-1.4570273413254557
0.01105764398647967,-1.287507580686188
0.015470345563438279,-1.6770987318629431
0.0029378929010365467,-1.4120394793703757
0.028103701548046596,-1.5015105348276112
0.09442438953338507,-2.075640430790746
0.021696068450407367,-1.4549101782691665
0.005002514577277557,-1.2816821947586188
0.00958713975081863,-1.4834527629734178
0.0040185894098739225,-1.261354250405164
0.03862013216040996,-1.508498271731628
0.024018222382265926,-1.2192777377019524
0.0062613488051782035,-1.392962240503518
0.0007927138450105088,-1.3893821631643526
0.021756152146167176,-2.0313829822329543
0.03966429754759636,-1.9887047596884706
0.16401896006220537,-2.4837626741802814
0.016007556301296032,-1.7132817700933778
0.04614471774131619,-1.8347451889422122
0.01862376167177645,-2.0433089629872416
0.12609055615914036,-3.104593824836416
0.023587457753729793,-1.8207802565895457
0.011462670193830472,-2.4990203051540654
0.05893139138170777,-1.4347647415520302
0.019505287633217645,-1.565163484410136
0.0042043122138698775,-1.2955965529528282
0.005723279301669277,-1.2480469258076496
0.009912862938345328,-1.470936127124269
0.011661288294240764,-1.6744861142083294
0.02882118385158779,-1.7852791898263893
0.006344223802330033,-2.03413490759196
0.013003039799835409,-2.138296631746228
0.12170737793872707,-3.2305482528683602
0.10876640350251188,-2.868159156502733
0.06990171138452021,-2.706188769605726
0.094797054082026,-2.769130711187646
0.046593431633238466,-2.4418142651593087
0.055794122955481154,-3.081795651981433
0.04139754618975939,-1.8055115663111803
0.0315203951784896,-2.0346768355083484
0.06822510087929502,-2.3089173926458084
0.03549174762440843,-2.344000281611767
0.13368522871903898,-2.5934588357746593
0.14977469362510976,-3.1044430295717516
0.06809758868881347,-1.9613065528641551
0.08254384445064933,-2.3562327027682106
0.05290074340211327,-2.568152963029071
0.04810124631227572,-5.4455053526361725
0.06556115909480263,-4.633685426782527
0.25468281232998086,-20.92176011565186
0.063792347809243,-6.727359646930536
0.026989767436880183,-3.5092963679167872
0.04733727810650889,-4.907692452154217
0.04185851593594087,-1.8497278415640865
0.12666244489118358,-2.4198860120619567
0.07581500693212372,-1.6012129919572327
0.07643469961116985,-1.5250325361520496
0.038246000322760446,-1.5040403870375187
0.08169393119244005,-3.244816589966157
0.038887808441228515,-2.2945751786113493
0.07479431093718147,-3.2490649070556348
0.01399912484108774,-1.4683843235691274
0.07377201624639658,-2.0437277347866973
0.022202697780572954,-2.1712113646535887
0.0304579023145718,-1.6480101015889854
0.013050545623864958,-1.7507943889384596
0.031247269600794627,-2.33392885090736
0.04354773574001199,-2.35143370268218
0.04404072806374199,-2.5483614466555284
0.034745892561094005,-2.1462406774431106
